freq,nrg_bal,siec,unit,geo,time,value,dataset
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Czechia,2022,24143.402,energy_consumption
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Czechia,2023,22730.008,energy_consumption
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Czechia,2024,22593.373,energy_consumption
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Denmark,2013,13645.528,energy_consumption
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Denmark,2014,13121.444,energy_consumption
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Denmark,2015,13558.927,energy_consumption
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Denmark,2016,13926.869,energy_consumption
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Denmark,2017,13999.863,energy_consumption
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Denmark,2018,13971.01,energy_consumption
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Denmark,2019,13725.14,energy_consumption
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Denmark,2020,13233.152,energy_consumption
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Denmark,2021,13930.625,energy_consumption
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Denmark,2022,13024.947,energy_consumption
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Denmark,2023,12957.952,energy_consumption
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Denmark,2024,12665.8,energy_consumption
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Germany,2013,208057.421,energy_consumption
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Germany,2014,197229.019,energy_consumption
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Germany,2015,200031.296,energy_consumption
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Germany,2016,203666.981,energy_consumption
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Germany,2017,204512.293,energy_consumption
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Germany,2018,200684.593,energy_consumption
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Germany,2019,200804.342,energy_consumption
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Germany,2020,194248.055,energy_consumption
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Germany,2021,197419.082,energy_consumption
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Germany,2022,189698.421,energy_consumption
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Germany,2023,179048.225,energy_consumption
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Germany,2024,177745.064,energy_consumption
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Estonia,2013,2840.316,energy_consumption
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Estonia,2014,2774.349,energy_consumption
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Estonia,2015,2750.345,energy_consumption
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Estonia,2016,2794.835,energy_consumption
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Estonia,2017,2807.413,energy_consumption
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Estonia,2018,2888.098,energy_consumption
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Estonia,2019,2826.061,energy_consumption
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Estonia,2020,2725.496,energy_consumption
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Estonia,2021,2789.658,energy_consumption
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Estonia,2022,2720.738,energy_consumption
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Estonia,2023,2565.334,energy_consumption
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Estonia,2024,3014.924,energy_consumption
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Ireland,2013,10234.498,energy_consumption
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Ireland,2014,10176.021,energy_consumption
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Ireland,2015,10497.166,energy_consumption
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Ireland,2016,10902.445,energy_consumption
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Ireland,2017,10850.673,energy_consumption
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Ireland,2018,11310.582,energy_consumption
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Ireland,2019,11292.038,energy_consumption
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Ireland,2020,10827.14,energy_consumption
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Ireland,2021,11020.03,energy_consumption
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Ireland,2022,10961.758,energy_consumption
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Ireland,2023,10927.583,energy_consumption
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Ireland,2024,11228.741,energy_consumption
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Greece,2013,14668.337,energy_consumption
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Greece,2014,14804.112,energy_consumption
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Greece,2015,15741.021,energy_consumption
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Greece,2016,15867.95,energy_consumption
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Greece,2017,15708.524,energy_consumption
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Greece,2018,15141.636,energy_consumption
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Greece,2019,15386.999,energy_consumption
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Greece,2020,14470.268,energy_consumption
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Greece,2021,14911.94,energy_consumption
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Greece,2022,15417.864,energy_consumption
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Greece,2023,15036.022,energy_consumption
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Greece,2024,15620.817,energy_consumption
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Spain,2013,76055.579,energy_consumption
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Spain,2014,75143.582,energy_consumption
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Spain,2015,76669.118,energy_consumption
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Spain,2016,78375.479,energy_consumption
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Spain,2017,80418.551,energy_consumption
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Spain,2018,82275.356,energy_consumption
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Spain,2019,82204.334,energy_consumption
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Spain,2020,73117.836,energy_consumption
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Spain,2021,79280.131,energy_consumption
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Spain,2022,78882.862,energy_consumption
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Spain,2023,77903.44,energy_consumption
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Spain,2024,79776.408,energy_consumption
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,France,2013,150084.794,energy_consumption
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,France,2014,138464.13,energy_consumption
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,France,2015,141654.105,energy_consumption
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,France,2016,144673.408,energy_consumption
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,France,2017,143692.884,energy_consumption
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,France,2018,141706.899,energy_consumption
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,France,2019,140050.04,energy_consumption
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,France,2020,128595.5,energy_consumption
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,France,2021,141001.031,energy_consumption
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,France,2022,134137.527,energy_consumption
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,France,2023,129009.684,energy_consumption
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,France,2024,129266.767,energy_consumption
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Croatia,2013,6467.843,energy_consumption
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Croatia,2014,6130.555,energy_consumption
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Croatia,2015,6484.974,energy_consumption
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Croatia,2016,6533.115,energy_consumption
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Croatia,2017,6793.042,energy_consumption
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Croatia,2018,6682.876,energy_consumption
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Croatia,2019,6726.814,energy_consumption
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Croatia,2020,6432.449,energy_consumption
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Croatia,2021,6887.646,energy_consumption
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Croatia,2022,6719.174,energy_consumption
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Croatia,2023,6924.509,energy_consumption
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Croatia,2024,7171.381,energy_consumption
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Italy,2013,114053.675,energy_consumption
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Italy,2014,108848.35,energy_consumption
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Italy,2015,112108.171,energy_consumption
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Italy,2016,111554.603,energy_consumption
