freq,nrg_bal,siec,unit,geo,time,value
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Greece,2014-01-01,14804.112
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Greece,2015-01-01,15741.021
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Greece,2016-01-01,15867.95
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Greece,2017-01-01,15708.524
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Greece,2018-01-01,15141.636
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Greece,2019-01-01,15386.999
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Greece,2020-01-01,14470.268
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Greece,2021-01-01,14911.94
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Greece,2022-01-01,15417.864
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Greece,2023-01-01,15036.022
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Greece,2024-01-01,15620.817
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Spain,2013-01-01,76055.579
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Spain,2014-01-01,75143.582
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Spain,2015-01-01,76669.118
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Spain,2016-01-01,78375.479
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Spain,2017-01-01,80418.551
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Spain,2018-01-01,82275.356
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Spain,2019-01-01,82204.334
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Spain,2020-01-01,73117.836
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Spain,2021-01-01,79280.131
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Spain,2022-01-01,78882.862
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Spain,2023-01-01,77903.44
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Spain,2024-01-01,79776.408
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,France,2013-01-01,150084.794
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,France,2014-01-01,138464.13
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,France,2015-01-01,141654.105
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,France,2016-01-01,144673.408
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,France,2017-01-01,143692.884
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,France,2018-01-01,141706.899
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,France,2019-01-01,140050.04
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,France,2020-01-01,128595.5
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,France,2021-01-01,141001.031
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,France,2022-01-01,134137.527
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,France,2023-01-01,129009.684
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,France,2024-01-01,129266.767
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Croatia,2013-01-01,6467.843
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Croatia,2014-01-01,6130.555
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Croatia,2015-01-01,6484.974
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Croatia,2016-01-01,6533.115
